hotel_name, class_of_rating, rating_score
Lower East Side 3 Bedroom,very good,8.1
Spacious Apartment,N/A,N/A
The Baxter House (sleeps 6),pleasant,6.4
Soul Food (Mont Morris),excellent,8.9
West 46th Street Apt 4C/4RW,N/A,N/A
Modern One Bedroom Apartment - Garment District,N/A,N/A
Hotel Henri New York| A Wyndham Hotel,good,7.6
Hotel Henri New York| A Wyndham Hotel,good,7.6
Broome Street Apartment - Lower East Side #19,good,7.4
Modern Prewar Midtown 2 Bedroom Apt.,N/A,N/A
Mid Town East 28th Street Apartments Next to Times Square,pleasant,6.7
Mayfair New York Times Square,good,7.3
Spacious studio in an elevator doorman building,N/A,N/A
The Sherry Netherland,wonderful,9.4
Beautiful NYC Brownstone,N/A,N/A
Times Square Perfect Home,wonderful,9.2
Uptown Studio,N/A,N/A
NY Away - Central Park UWS 2-Bedroom,pleasant,6.6
Gatsby Hotel| An Ascend Hotel Collection Member,very good,8.0
Apartment Midtown Garden,N/A,N/A
Renaissance New York Times Square Hotel,very good,8.3
Today House Suites,excellent,8.7
Arris Apartment,exceptional,9.6
The Ritz-Carlton New York| Battery Park Hotel,excellent,8.6
Central Park West Hostel,okay,5.9
Comfort Inn Midtown West,good,7.7
Exclusive Studio,good,7.2
Places4stay Greenwich Comfort Rooftop,N/A,N/A
onefinestay - NoHo Private Homes,N/A,N/A
Bryant Park Studio Apartment Times Square South,good,7.9
The Marmara Manhattan,very good,8.5
East 14th Street Apt 5A,N/A,N/A
Apartment Close to Time Square,very good,8.5
NY Away - The ideal Family & Friends 4 Bedrooms / 4 Bathrooms in Manhattan,pleasant,6.7
Hilton Garden Inn New York/Tribeca,very good,8.2
Oakwood 6th Avenue,N/A,N/A
Apartment 2BD/ 2BA E 7th St,N/A,N/A
Oakwood 6th Avenue,N/A,N/A
Apartment 2BD/ 2BA E 7th St,N/A,N/A
The Chatwal| a Luxury Collection Hotel| New York City,excellent,8.9
Studio in Times Square,pleasant,6.1
Places4stay Times Square Luxury,N/A,N/A
Chelsea Cabins,good,7.3
Hampton Inn Manhattan Chelsea,excellent,8.6
Places4stay Upper West Side Comfort,N/A,N/A
Colonial House Inn,very good,8.2
Comfort Inn Times Square West,very good,8.1
Apartment Clayton.3,N/A,N/A
Aparthotel Manhattan Residence.5,N/A,N/A
PermaGO Seaport Studio,very good,8.3
W New York - Union Square,very good,8.2
Large 1 Bedroom Chinatown,exceptional,9.5
Charles Street,N/A,N/A
Heart of Lower Manhattan,N/A,N/A
Places4stay Times Square Comfort Rooftop,N/A,N/A
Luxury 2B/1B UWS GEM,good,7.1
The Gallery House,excellent,8.6
Two Bedroom Apartment - East 34th Street,very good,8.0
45th Street Condo #228767,N/A,N/A
Renovated Midtown East Apartments,pleasant,6.4
East Side 3 Bedroom and 2 Bathroom Apartment (3),good,7.8
Hotel Mimosa,very good,8.2
W New York - Downtown,very good,8.0
Apartment with stunning views near 5th Ave,N/A,N/A
Econo Lodge Times Square,good,7.5
NY Away - Luxury Apartments in the Financial District,pleasant,6.4
Global Luxury Suites at Olympia House,N/A,N/A
Global Luxury Suites at Olympia House,N/A,N/A
Crowne Plaza HY36 Midtown Manhattan,excellent,8.9
Hotel Newton,good,7.7
The Townhouse Inn of Chelsea,excellent,8.8
Apartment Chelsea,N/A,N/A
Luxury One Bedroom Apartment - Garment District,good,7.1
BRAND NEW ULTRA MODERN NOMAD PARK AVENUE(31 AND PARK) 800 FT 2BR 1BA W/D ELEVATOR!,good,7.7
East Street Apartment #232471 Apts,N/A,N/A
Modern Apartment - Greenwich Village With Shared Roofdeck & Terrace,good,7.9
Jazz on the Park Youth Hostel,pleasant,6.7
Americana Inn,good,7.5
Cozy Two Bedrooms near Times Sq - NYC,disappointing,4.8
Apartment Soho Elizabeth 1,N/A,N/A
Lex Hotel NYC,excellent,8.9
One Bedroom Apartment - Mott Street #16,good,7.4
Superior Midtown East Apartments,okay,5.9
Heart of East Village Lots of Light,N/A,N/A
One-Bedroom on E 62nd Street Apt G,N/A,N/A
Jun New York Mid Town III,excellent,8.9
Large One Bedroom in NYC,N/A,N/A
Bridgestreet at the Chrystie,N/A,N/A
Fairfield Inn & Suites New York Manhattan/Downtown East,very good,8.3
Three Bedroom Apartment - West 148th Street,very good,8.1
Riff Hotel Chelsea,pleasant,6.4
Omni Berkshire Place,excellent,8.7
Hello Broadway,pleasant,6.5
Chelsea Art Suites,good,7.1
Prime West Village Vacation Apartment,N/A,N/A
East 7th Street Apt 1F,N/A,N/A
Holiday Inn Express - Wall Street,very good,8.1
West 119th B&B,wonderful,9.2
Wyndham Garden Chinatown,very good,8.0
U.S. Pacific Hotel,pleasant,6.1
Jun New York Mid Town I,N/A,N/A
Hotel 309,pleasant,6.3
Comfort Inn Lower East Side,good,7.9
New York Apartments,pleasant,6.6
Royal Park Hotel & Hostel,pleasant,6.8
3 West Club,very good,8.2
Central Park Apartment,good,7.4
Full Studio Near The Central Park,very good,8.2
Two Bedroom Chelsea/West Village Apartment,N/A,N/A
45th Street Condo #226384,N/A,N/A
Luxurious Three Bedroom Apartment,pleasant,6.9
Morningside Inn,okay,5.6
Yorkville Apartments -Upper East Side,pleasant,6.4
Holiday Inn New York City - Times Square,very good,8.1
Cassa Suites,N/A,N/A
NYC Apartment For Rent,N/A,N/A
Midtown East Next to Times Square,N/A,N/A
Holiday Inn Express Manhattan Midtown West,good,7.8
Central Park Studios,good,7.4
Manhattan Studio Apartment mid-west,very good,8.0
Harlem YMCA,good,7.1
Studio Times Square,N/A,N/A
Recently Renovated 3 Bedroom Apartment Manhattan #45,N/A,N/A
45th Street Condo #228760,N/A,N/A
Charming Loft in Lower East Side,N/A,N/A
Redford Hotel,pleasant,6.9
Two Bedroom Apartment - Midtown East,pleasant,6.4
NY Away - Hells Kitchen/ Times Square 1-Bedroom 12A,pleasant,6.4
Studio Apartment Wall Street,N/A,N/A
Anthem,N/A,N/A
Symphony House,N/A,N/A
3rd Avenue Apartment #232457 Apts,N/A,N/A
Apartment in the Heart of Manhattan,N/A,N/A
414 Hotel,wonderful,9.3
The Ideal 2 Bedroom Getaway by Central Park UWS,pleasant,6.9
Private Room in Time Square,wonderful,9.2
Highline West Village,N/A,N/A
Domenico Vacca Luxury Residences,N/A,N/A
Near the Central Park| in New York,very good,8.1
Brand New 2BR 1BA| W/D| Heart Of Lower East side| 4 min walk to SOHO| MODERN!,N/A,N/A
Luxury Apartment Time Square,N/A,N/A
Apartment Best Location in New York,good,7.5
Great Location Midtown East 35th Street and Third Ave,pleasant,6.9
Incentra Village Hotel,good,7.8
Places4stay Upper West Side Luxury,N/A,N/A
The Tuscany - A St Giles Signature Hotel,excellent,8.7
Gramercy Superior Apartments,pleasant,6.3
East Village: Newly Renovated 2 Bedroom,pleasant,6.7
45th Street Condo #226519,N/A,N/A
45th Street Condo #228762,N/A,N/A
Luxurious Central Park South 2 Bedroom Apartment,N/A,N/A
The Bowery House,pleasant,6.5
Eclectic 2Bedroom Art Studio,N/A,N/A
Holiday Inn Wall Street,good,7.9
Comfortable Two Bedroom Apartment in East Village,N/A,N/A
Apartment Clayton.1,N/A,N/A
Perfect Retreat in Downtown,N/A,N/A
Beautiful Lexington Apartment,N/A,N/A
Three Bedroom Apartment with City View - Lincoln Center,N/A,N/A
Studio Apartments - West 31st Street,pleasant,6.2
CITY ROOMS NYC - Chelsea,very good,8.0
28th Street & Park Avenue Apartments,N/A,N/A
New private studio-apartment,good,7.7
Aparthotel Manhattan Residence.6,N/A,N/A
Park Ave Apartments Midtown Next to Times Square,pleasant,6.5
Nice studio-apartment in Financial District,very good,8.5
Midtown Two Bedroom Apartment - Central Park,pleasant,6.7
The Grand NYC Apartments,fair,5.3
Apartment Clayton.5,N/A,N/A
Stunning Duplex By Upper East Side,N/A,N/A
Murray Hill 2 Cozy Bedroom Apt,N/A,N/A
Manhattan Guest House,good,7.6
